Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1461,20,5,80.0,11622,1,2,1,1,1,1,1,12,2,1,1,2,5,6,1961,1961,1,1,1,1,2,0.0,2,1,2,2,1,1,4,468.0,6,144.0,270.0,882.0,1,3,1,1,896,0,0,896,0.0,0.0,1,0,2,1,2,5,1,0,6,1,1961.0,2,1.0,730.0,1,1,1,140,0,0,0,120,0,4,2,2,0,6,2010,1,1,
1462,20,1,81.0,14267,1,2,2,1,1,3,1,12,1,1,1,2,6,6,1958,1958,2,1,3,6,1,108.0,2,1,2,2,1,1,2,923.0,1,0.0,406.0,1329.0,1,3,1,1,1329,0,0,1329,0.0,0.0,1,1,3,1,1,6,1,0,2,1,1958.0,2,1.0,312.0,1,1,1,393,36,0,0,0,0,2,2,3,12500,6,2010,1,1,
1463,60,1,74.0,13830,1,2,2,1,1,1,1,18,1,1,1,1,5,5,1997,1998,1,1,1,1,2,0.0,2,1,1,1,1,1,1,791.0,1,0.0,137.0,928.0,1,2,1,1,928,701,0,1629,0.0,0.0,2,1,3,1,2,6,1,1,2,1,1997.0,3,2.0,482.0,1,1,1,212,34,0,0,0,0,2,2,2,0,3,2010,1,1,
1464,60,1,78.0,9978,1,2,2,1,1,1,1,18,1,1,1,1,6,6,1998,1998,1,1,1,1,1,20.0,2,1,1,2,1,1,1,602.0,1,0.0,324.0,926.0,1,1,1,1,926,678,0,1604,0.0,0.0,2,1,3,1,1,7,1,1,3,1,1998.0,3,2.0,470.0,1,1,1,360,36,0,0,0,0,4,2,2,0,6,2010,1,1,
1465,120,1,43.0,5005,1,3,2,4,1,1,1,19,1,1,4,2,8,5,1992,1992,1,1,4,4,2,0.0,1,1,1,1,1,1,2,263.0,1,0.0,1017.0,1280.0,1,1,1,1,1280,0,0,1280,0.0,0.0,2,0,2,1,1,5,1,0,3,1,1992.0,1,2.0,506.0,1,1,1,0,82,0,0,144,0,4,2,2,0,1,2010,1,1,
1466,60,1,75.0,10000,1,2,2,1,1,3,1,18,1,1,1,1,6,5,1993,1994,1,1,4,4,2,0.0,2,1,1,1,1,1,3,0.0,1,0.0,763.0,763.0,1,2,1,1,763,892,0,1655,0.0,0.0,2,1,3,1,2,7,1,1,2,1,1993.0,3,2.0,440.0,1,1,1,157,84,0,0,0,0,4,2,2,0,4,2010,1,1,
1467,20,1,66.99531836561088,7980,1,2,2,1,1,1,1,18,1,1,1,2,6,7,1992,2007,1,1,4,4,2,0.0,2,2,1,1,1,1,2,935.0,1,0.0,233.0,1168.0,1,1,1,1,1187,0,0,1187,1.0,0.0,2,0,3,1,2,6,1,0,2,1,1992.0,3,2.0,420.0,1,1,1,483,21,0,0,0,0,4,4,2,500,3,2010,1,1,
1468,60,1,63.0,8402,1,2,2,1,1,1,1,18,1,1,1,1,6,5,1998,1998,1,1,1,1,2,0.0,2,1,1,1,1,1,3,0.0,1,0.0,789.0,789.0,1,2,1,1,789,676,0,1465,0.0,0.0,2,1,3,1,2,7,1,1,3,1,1998.0,3,2.0,393.0,1,1,1,0,75,0,0,0,0,4,2,2,0,5,2010,1,1,
1469,20,1,85.0,10176,1,2,1,1,1,1,1,18,1,1,1,2,7,5,1990,1990,1,1,4,4,2,0.0,2,1,1,1,1,2,1,637.0,1,0.0,663.0,1300.0,1,2,1,1,1341,0,0,1341,1.0,0.0,1,1,2,1,1,5,1,1,6,1,1990.0,2,2.0,506.0,1,1,1,192,0,0,0,0,0,4,2,2,0,2,2010,1,1,
1470,20,1,70.0,8400,1,2,1,1,1,3,1,12,1,1,1,2,4,5,1970,1970,1,1,8,5,2,0.0,2,1,2,2,1,1,2,804.0,5,78.0,0.0,882.0,1,3,1,1,882,0,0,882,1.0,0.0,1,0,2,1,2,4,1,0,2,1,1970.0,3,2.0,525.0,1,1,1,240,0,0,0,0,0,4,2,2,0,4,2010,1,1,
1471,120,5,26.0,5858,1,2,2,1,1,2,1,12,1,1,4,2,7,5,1999,1999,1,1,2,2,2,0.0,1,1,1,1,1,1,1,1051.0,2,0.0,354.0,1405.0,1,1,1,1,1337,0,0,1337,1.0,0.0,2,0,2,1,1,5,1,1,4,1,1999.0,3,2.0,511.0,1,1,1,203,68,0,0,0,0,4,2,2,0,6,2010,1,1,
1472,160,2,21.0,1680,1,3,1,1,1,1,1,23,1,1,5,1,6,5,1971,1971,1,1,4,4,1,504.0,2,1,2,2,1,1,4,156.0,1,0.0,327.0,483.0,1,3,1,1,483,504,0,987,0.0,0.0,1,1,2,1,2,5,1,0,2,2,1971.0,2,1.0,264.0,1,1,1,275,0,0,0,0,0,4,4,2,0,2,2010,3,1,
1473,160,2,21.0,1680,1,3,1,1,1,1,1,23,1,1,5,1,5,5,1971,1971,1,1,4,4,1,492.0,2,1,2,2,1,1,4,300.0,1,0.0,225.0,525.0,1,3,1,1,525,567,0,1092,0.0,0.0,1,1,3,1,2,6,1,0,2,2,1997.0,2,1.0,320.0,1,1,1,0,0,0,0,0,0,4,4,2,0,3,2010,1,1,
1474,160,1,24.0,2280,1,3,1,1,1,2,1,21,1,1,5,1,6,6,1975,1975,1,1,8,11,2,0.0,2,1,2,2,1,1,2,514.0,1,0.0,341.0,855.0,1,3,1,1,855,601,0,1456,0.0,0.0,2,1,3,1,1,6,1,1,2,1,1975.0,2,2.0,440.0,1,1,1,173,0,0,0,0,0,4,4,2,0,6,2010,1,1,
1475,120,1,24.0,2280,1,3,1,1,1,2,1,21,1,1,5,2,7,6,1975,1975,1,1,8,11,2,0.0,2,1,2,1,1,1,3,0.0,1,0.0,836.0,836.0,1,1,1,1,836,0,0,836,0.0,0.0,1,0,2,1,2,4,1,0,2,1,1975.0,2,1.0,308.0,1,1,1,0,30,0,0,0,0,4,4,2,0,6,2010,1,1,
1476,60,1,102.0,12858,1,2,2,1,1,1,1,11,1,1,1,1,9,5,2009,2010,1,1,1,1,3,162.0,3,1,1,3,1,1,3,0.0,1,0.0,1590.0,1590.0,1,1,1,1,1627,707,0,2334,0.0,0.0,2,1,3,1,3,10,1,1,3,1,2009.0,3,3.0,751.0,1,1,1,144,133,0,0,0,0,2,2,2,0,1,2010,2,3,
1477,20,1,94.0,12883,1,3,2,1,1,3,1,11,1,1,1,2,8,5,2009,2010,1,1,1,1,3,256.0,1,1,1,1,1,1,3,0.0,1,0.0,1544.0,1544.0,1,1,1,1,1544,0,0,1544,0.0,0.0,2,0,3,1,1,7,1,0,2,1,2009.0,1,3.0,868.0,1,1,1,0,35,0,0,0,0,2,2,2,0,6,2010,2,3,
1478,20,1,90.0,11520,1,2,1,1,1,1,1,11,3,1,1,2,9,5,2005,2005,2,1,1,1,1,615.0,1,1,1,3,1,1,1,110.0,1,0.0,1588.0,1698.0,1,1,1,1,1698,0,0,1698,0.0,0.0,2,0,3,1,3,7,1,1,3,1,2005.0,3,3.0,730.0,1,1,1,192,74,0,0,0,0,2,2,2,0,6,2010,1,1,
1479,20,1,79.0,14122,1,2,2,1,1,1,1,11,1,1,1,2,8,5,2005,2006,2,1,7,7,1,240.0,1,1,1,3,1,1,1,28.0,1,0.0,1794.0,1822.0,1,1,1,1,1822,0,0,1822,0.0,0.0,2,0,3,1,3,8,1,1,3,1,2005.0,1,3.0,678.0,1,1,1,0,119,0,0,0,0,2,4,2,0,2,2010,1,1,
1480,20,1,110.0,14300,1,2,1,4,1,1,2,11,1,1,1,2,9,5,2003,2004,2,1,1,1,1,1095.0,3,1,1,3,1,2,1,1373.0,1,0.0,1473.0,2846.0,1,1,1,1,2696,0,0,2696,1.0,0.0,2,1,3,1,3,10,1,2,3,1,2003.0,3,3.0,958.0,1,1,1,220,150,0,0,0,0,2,2,2,0,6,2010,1,1,
1481,60,1,105.0,13650,1,2,1,1,1,3,1,11,1,1,1,1,8,5,2002,2002,1,1,1,1,1,232.0,1,1,1,1,1,2,1,578.0,1,0.0,1093.0,1671.0,1,1,1,1,1687,563,0,2250,1.0,0.0,2,1,3,1,1,7,1,1,5,1,2002.0,3,3.0,756.0,1,1,1,238,130,0,0,0,0,2,2,2,0,6,2010,1,1,
1482,120,1,41.0,7132,1,3,2,1,1,1,1,11,1,1,4,2,8,5,2006,2006,1,1,1,1,3,178.0,1,1,1,1,1,3,1,24.0,1,0.0,1346.0,1370.0,1,1,1,1,1370,0,0,1370,0.0,0.0,2,0,2,1,1,6,1,1,3,1,2006.0,1,2.0,484.0,1,1,1,120,49,0,0,0,0,4,2,2,0,4,2010,1,1,
1483,20,1,100.0,18494,1,2,2,1,1,3,1,18,1,1,1,2,6,5,2005,2005,1,1,1,1,2,0.0,1,1,1,1,1,1,3,0.0,1,0.0,1324.0,1324.0,1,1,1,1,1324,0,0,1324,0.0,0.0,2,0,3,1,1,6,1,0,2,1,2005.0,3,2.0,430.0,1,1,1,36,23,0,0,0,0,2,3,2,0,1,2010,1,1,
